 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.tif:0001-0793,837,0.52272709,0.02123446,0.51500246,0.47990149,0.62367505,1286.37096774,792.97311828,1286.30536407,792.95871166,208.49242405,1258,768,54,50,60.84745822,17.51431416,44.98053616,0.24196623,65.21502894,437.52257541,0.51706237,1.12950388,1.51032240,100,437.52257541,1259,809,35.63980920,28.11248953,3.47415592,0.28783970,0.59743041,-3.403E38,3.4e38,0
2,37_y.tif:0002-0803,748,0.53317389,0.02716835,0.50789032,0.46907243,0.62078816,1321.67513369,804.20721925,1321.86737375,804.28709008,239.22034611,1291,784,60,39,42.06489248,22.64080860,32.49851639,0.16425373,63.56886030,398.81407163,0.53030217,0.54786913,-0.06258515,100,398.81407163,1291,820,19.29004622,34.71133913,1.85792359,0.53823527,0.52993270,-3.403E38,3.4e38,0
3,37_y.tif:0003-0810,692,0.55558555,0.03931194,0.51561324,0.43704027,0.66957992,1056.35982659,810.68641618,1056.21806305,810.57417284,226.73506474,1041,785,37,50,48.03737437,18.34158874,118.47949650,0.16915256,58.52349955,384.46520007,0.55364573,0.23922125,-0.65767277,100,384.46520007,1045,786,123.14699583,25.18058490,2.61904108,0.38181914,0.62146385,-3.403E38,3.4e38,0
4,37_y.tif:0004-1004,1169,0.57074161,0.04812989,0.54407073,0.40952024,0.72123903,142.11762190,1005.71214713,142.15856860,1005.79453868,291.88939367,104,986,72,36,59.03811547,25.21112024,165.30961429,0.17242004,73.75635566,667.19694465,0.56995165,0.15369671,-0.25077046,100,667.19694465,104,1003,167.47119229,34.06859482,2.34174899,0.42703125,0.71345743,-3.403E38,3.4e38,1
5,37_y.tif,1920000,0.17390773,0.08082400,0.02748211,0.00940828,0.72123903,800.00000000,600.00000000,800.24222782,598.06070964,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,333902.83597163,0.17453817,0.97720069,3.33801044,100,333902.83597163,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
6,Mar19bS1C1R3_VLPAGl_200x_y.tif,1920000,0.03064026,0.01347263,0.02054103,0.00938129,0.44890341,800.00000000,600.00000000,779.51367713,569.09591765,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,58829.30675457,0.02872946,5.37393329,83.93201248,100,58829.30675457,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
7,Mar19bS2C1R1_LHl_200x_y.tif:0001-0378,755,0.56096498,0.03944793,0.52902600,0.43171135,0.67959744,1493.90000000,373.29470199,1493.87497346,373.17208960,221.66399692,1479,358,40,41,35.85369200,26.81162811,69.19769712,0.19309298,43.65775991,423.52856255,0.56017059,0.17516141,-0.23506015,100,423.52856255,1495,399,69.90476881,36.30014365,1.33724412,0.74780662,0.64668094,-3.403E38,3.4e38,1
8,Mar19bS2C1R1_LHl_200x_y.tif:0001-0378,755,0.56096498,0.03944793,0.52902600,0.43171135,0.67959744,1493.90000000,373.29470199,1493.87497346,373.17208960,221.66399692,1479,358,40,41,35.85369200,26.81162811,69.19769712,0.19309298,43.65775991,423.52856255,0.56017059,0.17516141,-0.23506015,100,423.52856255,1495,399,69.90476881,36.30014365,1.33724412,0.74780662,0.64668094,-3.403E38,3.4e38,0
9,Mar20bS1C1R3_VLPAGl_200x_y.tif:0001-0932,611,0.60077390,0.05770838,0.60502987,0.46242836,0.74004042,1014.31014730,933.52782324,1014.07924361,933.53389100,137.92388155,999,915,30,35,38.36858361,20.27568622,58.13384245,0.40361949,42.80186912,367.07285386,0.60009474,0.07877735,-0.79285118,100,367.07285386,999,950,52.59464337,25.09522847,1.89234452,0.52844500,0.83299250,-3.403E38,3.4e38,1
10,Mar20bS1C1R3_VLPAGl_200x_y.tif:0001-0932,611,0.60077390,0.05770838,0.60502987,0.46242836,0.74004042,1014.31014730,933.52782324,1014.07924361,933.53389100,137.92388155,999,915,30,35,38.36858361,20.27568622,58.13384245,0.40361949,42.80186912,367.07285386,0.60009474,0.07877735,-0.79285118,100,367.07285386,999,950,52.59464337,25.09522847,1.89234452,0.52844500,0.83299250,-3.403E38,3.4e38,0
11,Mar23bS1C1R4_VLPAGl_200x_y.tif,1920000,0.03638875,0.06062133,0.02002714,0.00939771,0.61409408,800.00000000,600.00000000,1003.07995102,450.53025820,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,69866.39653111,0.02371972,4.75241607,22.81271174,100,69866.39653111,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
12,Mar23bS1C5R2_DMr_200x_y.tif,1920000,0.02621338,0.02291306,0.02525864,0.00638990,0.74952799,800.00000000,600.00000000,791.91076493,600.17740683,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,50329.68825908,0.02383390,15.35878667,298.93089895,100,50329.68825908,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
13,Mar26bS2C1R1_LHr_200x_y.tif:0001-0625,729,0.55458957,0.04173593,0.52997580,0.42038512,0.68381435,1113.81412894,624.44650206,1113.81799756,624.50583460,163.27922061,1099,605,35,40,33.08983128,28.05066065,103.99789164,0.34361772,41.00000000,404.29579756,0.55384892,-0.00256406,-0.12681812,100,404.29579756,1106,605,102.68038349,33.33974297,1.17964535,0.84771241,0.79411765,-3.403E38,3.4e38,1
14,Mar26bS2C1R1_LHr_200x_y.tif:0002-1078,1128,0.59154535,0.04632134,0.60329384,0.46569848,0.70946604,998.39450355,1079.93173759,998.27980895,1079.95541607,206.35028843,976,1056,53,44,46.90560901,30.61924228,142.10277485,0.33289617,54.81788029,667.26315719,0.59443772,-0.11958020,-0.66173122,100,667.26315719,976,1077,165.20323775,37.99462929,1.53189973,0.65278424,0.74064347,-3.403E38,3.4e38,1
15,Mar26bS2C1R1_LHr_200x_y.tif,1920000,0.02452381,0.02904668,0.02148969,0.00638442,0.70946604,800.00000000,600.00000000,785.86708509,596.08313619,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,47085.70835715,0.02067021,13.37662483,213.18077713,100,47085.70835715,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
16,Mar27bS1C2R2_LHr_200x_y.tif:0001-0013,915,0.55575537,0.03742465,0.52332376,0.43054381,0.65567809,976.69890710,11.08142077,976.74140932,11.07205197,367.73001410,938,0,78,27,67.59411986,17.23543684,3.05667040,0.08503012,78.51751397,508.51616320,0.55237985,0.23835127,-0.63702064,100,508.51616320,938,9,6.58194466,27.00000000,3.92181066,0.25498426,0.56779398,-3.403E38,3.4e38,0
17,Mar27bS1C2R2_LHr_200x_y.tif:0002-0260,678,0.58535978,0.04616804,0.55922984,0.47198960,0.70832294,1105.16519174,259.01327434,1105.29112932,258.95459827,130.95331881,1087,247,39,26,35.93051643,24.02571677,177.04462338,0.49682854,39.20459157,396.87392992,0.58488107,0.14246935,-0.58239729,100,396.87392992,1087,256,5.85601359,26.00000000,1.49550237,0.66867162,0.86534780,-3.403E38,3.4e38,1
18,Mar27bS1C2R2_LHr_200x_y.tif:0003-0388,584,0.54603453,0.03555362,0.50281276,0.43703744,0.64621115,1037.44691781,388.01027397,1037.40853659,388.05003127,193.42135624,1016,375,39,27,32.80025655,22.66969751,2.36621851,0.19616154,39.11521443,318.88416415,0.54652786,0.02009078,-0.48354327,100,318.88416415,1016,389,175.60129465,26.68107944,1.44687668,0.69114391,0.72591672,-3.403E38,3.4e38,1
