,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,1,1,5,420.0,0.444787665
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,0,0,8,0.0,0.0
0,Mar20bS1C1R3_VLPAGl_200x_y.png,0,0,1,0.0,0.0
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,5,0.0,0.0
0,Mar23bS1C5R2_DMr_200x_y.png,0,0,13,0.0,0.0
0,Mar26bS2C1R1_LHr_200x_y.png,0,0,8,0.0,0.0
0,Mar27bS1C2R2_LHr_200x_y.png,0,0,29,0.0,0.0
0,MAR38S1C3R1_DMR_20_o.png,15,4,45,167.05263157894737,0.6239400042105262
0,MAR55S3C2R2_VLPAGR_20_o.png,4,3,17,199.0,0.5995378200000001
