,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,1,4,5,494.6,0.12845388600000002
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,1,0,7,1072.0,0.18928181
0,Mar20bS1C1R3_VLPAGl_200x_y.png,0,1,1,281.0,0.37039414
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,5,0.0,0.0
0,Mar23bS1C5R2_DMr_200x_y.png,0,0,13,0.0,0.0
0,Mar26bS2C1R1_LHr_200x_y.png,1,1,7,466.0,0.12936187
0,Mar27bS1C2R2_LHr_200x_y.png,5,1,24,443.8333333333333,0.21412178
0,MAR38S1C3R1_DMR_20_o.png,17,3,43,402.55,0.35997072100000005
0,MAR55S3C2R2_VLPAGR_20_o.png,7,2,14,479.1111111111111,0.4303956888888889
