 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.tif,1920000,0.09247611,0.06234159,0.00348669,0.00000000,0.59506190,800.00000000,600.00000000,824.90868019,593.32427273,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,177554.12612743,0.08936372,1.63988691,6.13037033,99.31156250,177554.12612743,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
2,Mar19bS1C1R3_VLPAGl_200x_y.tif,1920000,0.00158443,0.00726614,0.00077841,0.00000000,0.39854530,800.00000000,600.00000000,779.09284305,506.71988427,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,3042.10034956,0.00000000,21.55466556,726.15242281,20.32213542,3042.10034956,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
3,Mar19bS2C1R1_LHl_200x_y.tif:0001-0339,807,0.53945222,0.03105636,0.53229003,0.43322039,0.62608600,45.05514250,344.47645601,45.14615832,344.56647673,256.09040380,17,320,58,39,51.35854064,20.00649356,167.73074664,0.15463108,58.52349955,435.33794475,0.53736895,0.10198726,-0.13032160,100.00000000,435.33794475,17,342,163.11320888,33.90141553,2.56709355,0.38954560,0.55104131,-3.403E38,3.4e38,0
4,Mar19bS2C1R1_LHl_200x_y.tif:0001-0339,807,0.53945222,0.03105636,0.53229003,0.43322039,0.62608600,45.05514250,344.47645601,45.14615832,344.56647673,256.09040380,17,320,58,39,51.35854064,20.00649356,167.73074664,0.15463108,58.52349955,435.33794475,0.53736895,0.10198726,-0.13032160,100.00000000,435.33794475,17,342,163.11320888,33.90141553,2.56709355,0.38954560,0.55104131,-3.403E38,3.4e38,0
5,Mar20bS1C1R3_VLPAGl_200x_y.tif,1920000,0.00139698,0.01159908,0.00131458,0.00000000,0.67306334,800.00000000,600.00000000,914.76856398,585.06696875,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,2682.19535262,0.00000000,33.91767601,1419.88908813,13.62390625,2682.19535262,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
6,Mar23bS1C1R4_VLPAGl_200x_y.tif,1920000,0.01030037,0.04047886,0.00110637,0.00000000,0.56645948,800.00000000,600.00000000,1288.44485469,295.22367266,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,19776.70298526,0.00000000,5.04308133,26.35645577,48.12750000,19776.70298526,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
7,Mar23bS1C5R2_DMr_200x_y.tif,1920000,0.00205472,0.01808320,0.00136775,0.00000000,0.70028800,800.00000000,600.00000000,855.15399681,771.71253306,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,3945.05717691,0.00000000,19.60024510,453.25025961,19.79489583,3945.05717691,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
8,Mar26bS2C1R1_LHr_200x_y.tif:0001-1077,650,0.54064272,0.03557137,0.51136624,0.43247381,0.63961703,996.79230769,1079.96461538,996.84478828,1079.91974636,241.70562748,977,1056,48,42,39.33326356,21.04086031,136.73329920,0.13981369,49.47726751,351.41777050,0.53754824,0.32343567,-0.14376416,100.00000000,351.41777050,977,1076,165.96375653,33.11709763,1.86937525,0.53493808,0.52083333,-3.403E38,3.4e38,0
9,Mar26bS2C1R1_LHr_200x_y.tif:0001-1077,650,0.54064272,0.03557137,0.51136624,0.43247381,0.63961703,996.79230769,1079.96461538,996.84478828,1079.91974636,241.70562748,977,1056,48,42,39.33326356,21.04086031,136.73329920,0.13981369,49.47726751,351.41777050,0.53754824,0.32343567,-0.14376416,100.00000000,351.41777050,977,1076,165.96375653,33.11709763,1.86937525,0.53493808,0.52083333,-3.403E38,3.4e38,0
10,Mar27bS1C2R2_LHr_200x_y.tif,1920000,0.00902833,0.04322461,0.00388056,0.00000000,0.66228157,800.00000000,600.00000000,785.04653387,516.34402696,5600.00000000,0,0,1600,1200,1805.40666726,1354.05500044,0.00000000,0.76936963,2000.00000000,17334.39183703,0.00314788,8.62496463,79.95512810,87.16375000,17334.39183703,0,0,143.13010235,1200.00000000,1.33333333,0.75000000,1.00000000,-3.403E38,3.4e38,0
