,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,0,0,6,0,0
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0,0
0,Mar19bS2C1R1_LHl_200x_y.png,1,1,7,303.0,0.40304903000000003
0,Mar20bS1C1R3_VLPAGl_200x_y.png,0,1,1,347.0,0.35640944
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,5,0,0
0,Mar23bS1C5R2_DMr_200x_y.png,0,1,13,318.0,0.42512009
0,Mar26bS2C1R1_LHr_200x_y.png,0,0,8,0,0
0,Mar27bS1C2R2_LHr_200x_y.png,0,2,29,325.5,0.319278795
0,MAR38S1C3R1_DMR_20_o.png,0,0,60,0,0
0,MAR55S3C2R2_VLPAGR_20_o.png,0,1,21,424.0,0.28839265
